Person 1:
[[1104.24, 480.092], [989.388, 521.395]],
[[1095.45, 477.356], [983.577, 518.534]],
[[1092.5, 492.042], [980.701, 518.555]],
[[1092.36, 506.73], [980.695, 518.541]],
[[1092.42, 521.394], [983.523, 521.398]],
[[1095.45, 527.404], [983.577, 518.537]],
[[1098.47, 530.204], [983.583, 521.382]],
[[1110.03, 533.236], [986.493, 518.495]],
[[1113.11, 539.139], [992.428, 518.554]],
[[1115.94, 544.959], [995.34, 521.43]],
[[1115.94, 553.755], [998.317, 524.373]],
[[1118.84, 556.883], [1001.25, 524.388]],
[[1119.02, 562.682], [1001.32, 527.344]],
[[1119.02, 562.626], [0, 0]],
[[1118.98, 562.629], [0, 0]],
[[1118.96, 562.622], [1030.69, 553.772]],
[[1118.95, 562.677], [1024.92, 559.787]],
[[1118.94, 559.758], [1027.68, 553.87]],
[[1118.87, 565.561], [1024.77, 550.896]],
[[1118.89, 565.607], [0, 0]],
[[1118.88, 562.621], [1021.79, 533.16]],
[[1118.99, 559.679], [1012.97, 527.477]],
[[1118.91, 553.817], [1004.12, 530.197]],
[[1116.02, 553.748], [992.422, 530.344]],
[[1116.08, 550.917], [980.593, 536.241]],
[[1118.99, 553.887], [977.542, 542.045]],
[[1118.96, 553.932], [974.689, 547.862]],
[[1118.98, 553.731], [971.819, 547.915]],
[[1118.83, 553.739], [968.87, 550.711]],
[[1113.03, 550.847], [989.386, 547.994]],
[[1095.52, 550.731], [983.508, 547.988]],
[[1077.73, 544.968], [977.743, 553.752]],
[[1068.92, 547.916], [980.673, 547.927]],
[[1048.28, 550.765], [977.669, 544.951]],
[[1024.69, 553.835], [980.546, 547.992]],
[[1021.75, 556.765], [974.83, 550.839]],
[[1018.89, 553.963], [974.707, 550.86]],
[[1015.93, 553.82], [971.789, 550.752]],
[[1007.13, 550.843], [968.79, 550.876]],
[[998.362, 550.812], [954.086, 547.943]],
[[980.615, 553.902], [948.096, 547.876]],
[[974.629, 568.524], [930.5, 550.806]],
[[971.794, 568.499], [924.581, 544.96]],
[[971.658, 568.513], [907.073, 545.033]],
[[971.739, 568.52], [903.956, 547.83]],
[[971.709, 568.493], [904.132, 550.734]],
[[965.88, 568.485], [906.992, 550.849]],
[[960.027, 556.817], [906.942, 550.798]],
[[959.971, 553.726], [907.061, 550.832]],
[[957.135, 550.863], [912.945, 550.739]],
[[959.955, 545.01], [921.705, 547.829]],
[[954.278, 533.322], [924.55, 542.071]],
[[954.233, 530.188], [921.736, 536.223]],
[[954.305, 527.28], [918.814, 530.374]],
[[954.154, 506.782], [912.871, 533.192]],
[[954.033, 503.742], [915.859, 530.371]],
[[951.017, 489.067], [909.965, 530.239]],
[[948.133, 486.152], [0, 0]],
[[942.284, 486.09], [0, 0]],
[[930.695, 483.292], [901.162, 500.912]],
[[930.552, 486.191], [904.016, 500.746]],
[[930.556, 489.023], [903.935, 492.042]],
[[930.444, 486.188], [901.139, 486.089]],
[[930.497, 483.26], [901.183, 483.25]],
[[930.634, 486.193], [903.969, 486.108]],
[[936.477, 486.116], [906.909, 483.193]],
[[939.457, 483.069], [909.913, 477.275]],
[[945.28, 480.368], [910.129, 480.205]],
[[945.314, 480.265], [918.773, 483.098]],
[[948.212, 480.132], [915.915, 483.119]],
[[948.147, 471.365], [918.815, 483.222]],
[[948.274, 459.557], [918.797, 483.132]],
[[951.133, 453.793], [918.832, 483.086]],
[[954.035, 453.794], [924.572, 483.049]],
[[945.312, 453.811], [924.654, 480.377]],
[[915.868, 462.633], [924.735, 480.189]],
[[918.784, 459.704], [927.55, 480.11]],
[[927.548, 462.576], [927.673, 480.076]],
[[927.592, 465.498], [930.607, 474.385]],
[[927.501, 462.612], [930.676, 477.245]],
[[924.713, 459.77], [930.634, 477.272]],
[[927.673, 462.633], [930.575, 474.39]],
[[930.604, 459.642], [927.702, 471.417]],
[[933.553, 453.694], [927.628, 474.397]],
[[948.212, 447.829], [927.641, 465.555]],
[[951.257, 450.828], [930.67, 459.775]],
[[933.557, 450.848], [936.467, 459.599]],
[[962.991, 447.864], [933.609, 456.679]],
[[971.72, 450.817], [942.329, 459.559]],
[[974.611, 450.821], [948.195, 459.553]],
[[968.836, 450.846], [948.273, 459.64]],
[[960.024, 442], [951.077, 459.567]],
[[968.851, 447.833], [945.247, 459.638]],
[[971.758, 450.764], [939.376, 456.766]],
[[971.804, 450.783], [939.401, 459.625]],
[[971.674, 453.804], [927.699, 468.455]],
[[968.82, 459.583], [924.576, 474.364]],
[[965.912, 456.756], [910.068, 477.269]],
[[974.592, 459.667], [904.117, 480.142]],
[[971.739, 456.738], [886.528, 480.307]],
[[971.737, 459.673], [883.496, 483.16]],
[[971.776, 456.743], [880.575, 483.348]],
[[971.741, 456.717], [880.506, 489.058]],
[[959.974, 442.031], [880.427, 486.231]],
[[965.907, 456.677], [880.47, 486.25]],
[[954.124, 456.764], [880.48, 486.251]],
[[942.282, 833.328], [0, 0]],
[[948.199, 456.836], [880.474, 486.146]],
[[927.645, 465.492], [880.506, 486.109]],
[[927.663, 474.331], [880.562, 483.302]],
[[921.683, 483.26], [880.402, 483.242]],
[[907.134, 486.257], [874.681, 483.241]],
[[904.095, 497.84], [865.825, 486.137]],
[[892.36, 503.685], [868.807, 489.037]],
[[889.386, 500.823], [871.739, 489.095]],
[[883.396, 503.8], [880.51, 494.913]],
[[880.49, 509.634], [886.404, 497.939]],
[[880.521, 512.621], [889.358, 489.093]],
[[880.535, 518.518], [874.571, 506.732]],
[[880.388, 521.479], [868.727, 503.855]],
[[880.41, 521.447], [856.955, 506.814]],
[[877.624, 524.306], [839.381, 503.889]],
[[877.532, 518.536], [824.636, 527.252]],
[[880.432, 506.883], [801.095, 530.194]],
[[877.521, 503.72], [786.278, 530.436]],
[[862.901, 497.853], [774.63, 542.003]],
[[853.981, 503.649], [777.487, 551.017]],
[[839.342, 518.483], [780.415, 550.852]],
[[818.778, 530.23], [783.411, 553.803]],
[[809.817, 547.915], [783.425, 550.984]],
[[792.346, 550.894], [783.435, 553.865]],
[[786.422, 553.814], [0, 0]],
[[783.389, 556.765], [0, 0]],
[[786.304, 574.541], [0, 0]],
[[765.638, 577.315], [0, 0]],
[[768.671, 565.589], [756.902, 580.344]],
[[762.933, 583.307], [774.56, 553.918]],
[[762.868, 583.267], [786.263, 553.749]],
[[762.787, 580.41], [783.427, 550.826]],
[[762.793, 583.282], [0, 0]],
[[762.682, 580.364], [742.237, 556.784]],
[[765.643, 577.259], [739.237, 556.766]],
[[759.75, 574.505], [739.243, 553.887]],
[[759.796, 586.243], [733.34, 571.472]],
[[765.821, 577.351], [736.224, 571.408]],
[[765.714, 577.329], [736.354, 574.432]],
[[762.9, 568.534], [0, 0]],
[[774.551, 562.657], [739.136, 553.856]],
[[786.317, 568.551], [736.313, 553.887]],
[[801.107, 559.714], [742.114, 551.022]],
[[807.011, 550.895], [742.201, 556.828]],
[[812.785, 547.878], [742.081, 553.947]],
[[812.772, 542.115], [0, 0]],
[[812.994, 544.943], [0, 0]],
[[824.595, 550.785], [745.249, 527.485]],
[[833.419, 536.226], [742.336, 530.252]],
[[845.263, 530.382], [742.135, 527.363]],
[[877.501, 527.291], [742.175, 524.379]],
[[892.322, 518.547], [739.36, 527.314]],
[[904, 518.449], [739.209, 527.296]],
[[904.05, 527.179], [739.314, 527.271]],
[[901.177, 530.338], [739.174, 527.248]],
[[904.058, 530.274], [739.211, 527.242]],
[[903.943, 530.177], [739.304, 527.308]],
[[903.993, 527.352], [745.163, 524.328]],
[[903.954, 527.168], [762.79, 524.345]],
[[904.156, 527.17], [783.379, 524.311]],
[[906.964, 521.443], [801.026, 527.171]],
[[906.988, 518.551], [824.582, 527.231]],
[[906.986, 515.527], [854.078, 527.391]],
[[912.929, 506.632], [877.552, 527.293]],
[[927.676, 503.713], [901.093, 527.314]],
[[951.096, 500.788], [918.8, 527.336]],
[[974.648, 506.696], [924.719, 527.31]],
[[1007.16, 509.759], [927.67, 524.446]],
[[1048.28, 515.52], [930.438, 524.454]],
[[1083.62, 527.359], [930.569, 527.251]],
[[1107.12, 530.239], [930.601, 524.353]],
[[1104.22, 530.289], [945.225, 521.46]],
[[1104.19, 530.315], [959.974, 527.206]],
[[1107.18, 530.314], [974.757, 527.341]],
[[1110.07, 530.267], [980.694, 527.36]],
[[1110.05, 530.232], [992.411, 527.295]],
[[1107.21, 530.177], [1001.09, 527.24]],
[[1110.11, 530.168], [1004.12, 521.441]],
[[1110.11, 530.177], [1010.07, 518.535]],
[[1110.12, 530.262], [1015.89, 527.446]],
[[1112.98, 527.455], [1024.72, 527.303]],
[[1110.12, 527.413], [1012.98, 527.345]],
[[1110.1, 530.179], [1015.89, 527.314]],
[[1115.92, 527.349], [1021.81, 527.396]],
[[1110.15, 527.423], [1021.66, 530.211]],
[[1107.19, 527.223], [1018.92, 530.234]],
[[1092.49, 527.262], [1015.86, 530.165]],
[[1080.67, 527.322], [1004.15, 527.332]],
[[1069.01, 530.275], [998.283, 524.408]],
[[1063.06, 533.257], [998.243, 524.432]],
